index,totalseconds,Gender,Age,Edu,Marriage,Group,SCD,RD1,RD2,RD3,RD4,RD5,T1,POS1,POS2,POS3,POS4,POS5,POS6,T2,LS1,LS2,LS3,LS4,LS5,totalvalue
75,162,2,36,4,2,1,6,6,4,3,5,5,6,2,3,4,6,5,4,1,3,4,5,4,2,78
76,163,1,23,4,1,1,5,5,4,4,5,4,6,3,3,4,3,3,4,1,4,4,5,5,4,76
77,424,1,35,4,2,1,5,4,3,4,5,4,6,3,2,3,1,2,4,1,3,3,5,5,2,65
78,150,1,31,4,2,1,5,2,2,1,2,2,6,6,4,4,3,3,5,1,6,6,7,5,3,73
79,186,2,30,4,2,1,5,4,3,3,3,2,6,6,5,6,4,2,6,1,7,5,6,4,2,80
80,126,1,49,5,2,1,6,6,6,5,6,5,6,1,2,1,5,2,3,1,3,2,3,2,1,66
81,128,1,42,4,2,1,5,4,3,1,3,4,6,6,6,5,4,2,5,1,6,5,4,4,3,77
82,370,2,30,4,2,1,5,4,2,1,5,3,6,4,3,4,4,2,4,1,5,5,6,5,5,74
83,158,1,35,4,2,1,4,3,2,5,3,2,6,5,6,5,6,6,7,1,5,4,6,7,1,84
86,137,2,31,4,2,1,6,5,3,2,7,2,6,1,2,2,4,1,4,1,5,3,6,7,3,70
88,286,2,36,4,2,1,6,6,5,1,5,2,6,4,4,5,5,5,5,1,6,6,6,6,5,89
89,137,1,26,4,2,1,6,7,7,7,7,7,6,3,3,2,3,1,3,1,4,4,7,7,3,88
91,232,1,28,4,2,1,5,6,4,7,6,6,6,2,3,3,7,2,3,1,2,4,3,4,1,75
92,128,2,26,4,2,1,5,6,6,3,6,4,6,3,3,1,5,1,4,1,5,5,6,5,6,81
93,181,2,33,4,2,1,5,6,2,1,7,4,6,3,1,4,7,1,4,1,1,3,4,7,1,68
94,155,2,33,4,2,1,3,6,4,3,5,3,6,5,4,3,4,3,5,1,6,5,4,4,6,80
96,420,2,29,5,2,1,5,3,2,2,4,3,6,3,3,2,4,3,4,1,4,4,5,2,2,62
97,112,2,25,4,1,1,4,2,3,2,2,1,6,4,3,4,5,4,5,1,6,7,6,5,6,76
99,138,2,48,4,2,1,5,6,1,1,5,6,6,2,3,4,5,2,4,1,5,5,4,5,2,72
100,207,2,27,4,2,1,4,3,3,3,2,3,6,5,4,5,4,3,4,1,4,4,5,5,4,72
101,256,2,31,4,2,1,6,6,6,4,5,5,6,3,3,4,5,3,3,1,3,3,2,4,2,74
103,161,1,29,4,2,1,3,2,1,1,2,1,6,4,2,2,3,1,4,1,5,6,7,6,4,61
106,408,2,26,3,2,1,6,6,5,2,6,4,6,2,1,3,4,3,2,1,4,5,5,5,4,74
108,383,2,29,4,1,1,6,6,7,3,7,7,6,1,1,1,4,2,2,1,1,1,1,1,1,59
109,313,1,37,4,2,1,4,4,3,2,3,2,6,4,3,4,5,3,5,1,5,5,6,6,4,75
110,589,1,29,4,1,1,5,5,3,4,6,4,6,4,3,5,3,4,4,1,3,4,4,2,2,72
111,552,2,27,4,2,1,6,6,1,1,7,4,6,1,1,3,4,2,3,1,4,2,4,2,2,60
113,138,2,22,4,1,1,4,5,2,3,5,4,6,3,1,2,1,2,2,1,4,3,4,2,1,55
114,136,1,20,4,1,1,5,4,5,2,5,4,6,2,1,2,5,4,2,1,2,3,2,1,4,60
115,158,1,34,5,2,1,6,6,7,4,7,5,6,4,5,6,4,3,4,1,5,5,6,5,6,95
116,138,1,30,4,1,1,6,6,5,1,5,4,6,5,2,3,5,1,3,1,1,1,2,3,2,62
117,173,2,32,4,2,1,6,7,5,2,6,6,6,2,1,2,6,4,4,1,2,4,5,5,2,76
118,132,2,30,4,1,1,6,5,5,3,5,4,6,3,1,3,5,3,6,1,3,4,4,2,1,70
119,194,2,28,4,1,1,6,7,4,7,7,6,6,2,2,3,4,2,3,1,2,1,1,2,3,69
121,157,2,29,4,2,1,6,7,4,2,5,4,6,1,1,4,4,3,5,1,5,5,7,6,3,79
123,131,2,23,4,2,1,5,3,2,2,3,1,6,5,3,5,4,3,6,1,5,4,6,5,3,72
126,129,1,36,5,2,1,5,5,3,1,5,2,6,4,3,2,5,4,6,1,6,5,7,6,5,81
127,142,2,38,3,2,1,5,7,4,4,5,4,6,1,2,2,2,1,2,1,4,3,3,4,3,63
128,145,1,35,4,2,1,5,6,5,4,6,4,6,2,3,2,4,3,2,1,2,3,3,2,2,65
129,149,1,39,5,2,1,1,1,1,1,1,1,6,6,6,6,5,4,6,1,6,6,6,6,6,76
130,157,2,31,4,2,1,4,5,3,2,2,2,6,4,4,3,6,4,5,1,3,4,3,3,1,65
131,161,2,27,4,1,1,5,7,5,4,6,5,6,3,2,4,6,5,4,1,3,4,3,2,1,76
132,225,2,32,4,2,1,4,5,6,2,5,2,6,3,2,4,6,5,6,1,3,5,6,5,2,78
133,166,1,18,3,1,1,6,5,5,4,7,5,6,2,2,3,5,4,3,1,4,4,3,2,1,72
134,231,2,27,4,2,1,4,2,4,1,2,3,6,2,1,4,4,3,5,1,2,1,2,1,1,49
135,370,2,28,4,2,1,5,2,1,2,1,2,6,3,2,4,4,3,5,1,6,5,6,6,7,71
136,118,2,22,4,1,1,5,5,5,5,5,6,6,3,3,2,5,3,3,1,2,2,3,2,1,67
137,122,1,33,5,1,1,4,1,1,5,2,1,6,6,6,6,7,4,6,1,5,6,6,4,4,81
140,273,1,22,4,1,1,5,5,5,4,6,4,6,4,4,3,3,2,2,1,3,3,2,2,4,68
141,209,1,43,4,2,1,3,2,1,2,1,2,6,5,6,7,6,5,6,1,5,6,5,7,3,79
142,147,2,25,4,1,1,5,4,3,2,4,6,6,2,1,4,5,3,4,1,5,6,7,3,1,72
143,210,2,33,2,2,1,5,2,1,1,4,2,6,1,1,3,2,2,4,1,4,4,4,6,1,54
144,167,2,48,3,2,1,6,5,3,2,5,4,6,1,1,3,2,1,3,1,3,4,5,5,4,64
145,153,1,35,3,2,1,4,6,3,4,5,3,6,4,4,5,5,2,6,1,4,3,4,5,3,77
146,117,2,28,4,2,1,5,5,6,5,5,4,6,3,3,2,1,2,2,1,6,5,6,5,5,77
147,120,2,32,4,1,1,5,7,4,3,6,2,6,4,5,6,5,4,6,1,5,6,5,5,3,88
148,123,2,24,4,2,1,5,3,3,2,4,2,6,4,3,5,5,4,6,1,5,6,6,5,3,78
149,123,1,26,4,1,1,6,6,5,4,6,5,6,3,2,3,5,3,3,1,4,3,3,2,1,71
150,129,2,32,5,2,1,5,5,3,2,5,3,6,2,1,4,6,2,5,1,1,3,6,1,1,62
152,136,2,30,4,2,1,6,5,1,1,4,1,6,5,4,5,3,5,5,1,5,6,6,7,4,80
156,139,2,34,4,2,1,2,1,1,1,2,1,6,5,5,6,4,4,6,1,6,6,7,5,5,74
159,118,1,20,4,1,1,6,4,4,5,6,7,6,3,2,1,1,2,2,1,5,5,4,1,1,66
160,185,2,34,5,2,1,6,6,6,5,6,5,6,4,3,5,4,3,4,1,5,5,6,5,6,91
161,129,2,32,4,1,1,5,7,5,6,7,6,6,3,2,3,4,3,3,1,5,4,5,5,3,83
163,306,1,35,3,2,1,5,5,2,3,2,3,6,2,1,6,2,3,6,1,6,5,7,7,5,77
165,728,2,34,4,2,1,3,3,2,1,2,1,6,4,4,5,4,4,5,1,5,4,6,5,4,69
167,1109,2,26,4,1,1,3,2,2,2,2,6,6,3,3,4,5,4,4,1,5,6,6,5,4,73
168,196,2,33,5,2,1,3,1,1,2,3,2,6,4,3,5,4,1,5,1,6,7,6,5,5,70
173,145,2,36,4,2,1,6,6,6,4,7,7,6,2,1,1,4,1,1,1,4,4,5,3,3,72
177,178,2,32,4,2,1,4,6,3,1,6,4,6,3,4,5,5,4,6,1,3,4,5,6,3,79
178,146,1,27,4,2,1,3,3,2,3,2,2,6,4,4,5,4,4,5,1,5,5,6,3,2,69
179,225,2,23,4,1,1,6,4,4,2,5,4,6,1,1,4,4,3,4,1,4,3,4,3,1,64
180,172,2,30,4,2,1,5,7,3,2,6,4,6,2,1,2,2,1,4,1,1,4,6,4,3,64
181,184,2,33,4,2,1,4,3,2,2,4,3,6,5,4,6,3,4,5,1,6,5,7,7,1,78
182,193,2,29,4,2,1,4,5,1,2,4,1,6,6,1,4,2,5,7,1,5,4,7,7,1,73
184,165,2,38,2,2,1,5,5,3,2,2,1,6,5,4,3,2,3,5,1,6,6,5,5,5,74
185,115,2,29,4,2,1,6,5,5,4,6,3,6,4,4,5,4,3,5,1,5,6,6,6,4,88
187,119,1,25,5,1,1,4,2,1,2,3,2,6,2,1,4,5,4,5,1,5,5,6,3,1,62
188,123,1,33,4,2,1,5,5,4,5,4,4,6,6,6,6,6,6,6,1,6,5,6,5,5,97
191,137,1,34,4,2,1,6,6,3,2,2,2,6,6,5,6,5,5,6,1,7,6,7,6,7,94
192,212,2,24,4,1,1,3,1,1,3,1,1,6,5,5,6,5,5,6,1,6,7,6,5,6,79
193,121,2,30,4,1,1,2,5,3,2,4,3,6,5,4,3,4,5,5,1,5,4,6,5,4,76
194,121,2,46,2,2,1,5,6,3,2,7,5,6,1,2,1,6,2,4,1,3,2,1,3,4,64
195,117,1,30,4,2,1,4,5,3,3,5,3,6,3,4,4,4,3,4,1,5,5,6,6,4,78
197,248,2,23,3,1,1,3,5,2,2,3,2,6,4,2,4,5,5,5,1,1,5,2,2,6,65
200,148,1,31,4,2,1,6,7,6,7,7,6,6,3,3,4,5,4,3,1,5,5,4,7,6,95
201,158,2,32,4,2,1,5,5,4,5,6,5,6,3,3,4,5,4,3,1,4,3,4,5,3,78
202,155,1,22,4,1,1,6,5,5,3,5,4,6,7,2,5,6,3,6,1,7,5,6,5,4,91
203,113,1,29,4,2,1,4,4,4,1,3,3,6,4,3,4,4,4,4,1,5,5,6,6,6,77
204,118,2,43,5,2,1,5,4,3,2,5,4,6,2,1,3,2,1,3,1,5,4,6,7,3,67
205,239,2,36,3,2,1,5,5,3,1,1,1,6,4,4,3,1,3,6,1,6,7,7,7,7,78
206,126,2,32,3,2,1,5,5,3,3,5,4,6,3,3,2,4,2,3,1,3,1,3,4,2,62
207,211,1,18,2,1,1,5,4,6,1,3,4,6,2,5,3,1,1,5,1,6,5,6,7,7,78
208,186,2,30,4,2,1,5,5,2,1,7,4,6,1,3,5,6,2,4,1,2,1,4,2,3,64
209,136,1,32,4,1,1,4,2,1,1,2,2,6,4,3,4,5,3,4,1,3,3,5,3,1,57
210,203,1,26,4,2,1,6,6,6,5,6,5,6,3,3,2,5,4,3,1,3,3,4,4,2,77
211,203,1,23,3,1,1,5,5,6,2,3,4,6,3,3,3,4,2,4,1,4,3,5,3,2,68
213,167,1,51,3,1,1,5,3,2,4,1,1,6,5,6,7,4,4,6,1,5,7,7,6,6,86
214,232,2,26,4,2,1,5,5,4,3,6,4,6,3,3,4,6,5,4,1,3,4,3,2,1,72
216,135,2,25,4,1,1,5,6,4,2,5,5,6,4,2,4,5,5,4,1,3,3,3,4,2,73
217,140,2,28,5,2,1,5,5,5,6,5,6,6,3,2,2,6,3,4,1,2,4,3,2,2,72
218,138,1,27,4,2,1,5,5,4,3,7,5,6,1,1,1,4,1,2,1,2,2,3,1,3,57
219,145,2,33,4,2,1,6,6,4,1,6,7,6,4,2,1,2,3,2,1,7,5,4,4,1,72
221,177,2,24,4,1,1,4,2,2,1,3,5,6,3,2,3,3,1,2,1,4,4,5,4,1,56
222,187,2,31,4,2,1,6,6,4,5,7,5,6,5,4,5,6,4,4,1,3,3,3,4,3,84
223,158,1,39,2,2,1,3,4,5,3,5,4,6,3,3,4,4,5,3,1,4,3,4,3,2,69
224,175,2,28,4,2,1,6,4,2,1,5,4,6,5,3,6,5,3,5,1,7,4,6,2,4,79
226,388,2,30,5,2,1,5,3,2,2,2,2,6,3,3,4,5,4,5,1,5,5,7,6,5,75
230,246,2,34,3,2,1,6,5,5,3,6,5,6,2,2,3,5,3,3,1,2,3,4,4,3,71
231,119,2,47,3,2,1,5,5,4,3,5,4,6,3,2,3,4,3,2,1,3,3,4,4,2,66
232,137,1,32,4,2,1,5,5,4,3,4,5,6,4,3,4,3,4,3,1,3,3,4,6,1,71
234,112,2,23,4,1,1,5,6,3,2,7,6,6,1,2,3,5,4,3,1,3,4,4,4,5,74
235,133,2,23,4,1,1,5,5,3,1,5,4,6,3,1,4,6,2,4,1,4,5,4,2,3,68
236,125,2,28,4,1,1,6,5,2,1,5,1,6,1,1,4,2,1,4,1,3,5,4,3,2,57
237,154,2,30,3,2,1,5,6,6,6,6,6,6,6,3,6,3,3,3,1,3,4,5,6,2,86
240,156,2,28,4,2,1,6,5,3,1,5,3,6,3,2,3,5,4,4,1,3,4,3,3,1,65
241,114,1,31,4,2,1,5,5,3,4,5,5,6,3,5,3,4,2,3,1,4,5,5,3,3,74
242,137,2,28,4,1,1,5,2,1,1,1,1,6,4,4,5,4,4,6,1,6,6,5,6,6,74
244,175,2,48,2,2,1,2,2,2,2,1,1,6,6,5,6,5,6,6,1,6,6,6,6,5,80
247,124,2,32,4,2,1,6,6,6,5,7,6,6,2,2,3,6,3,3,1,3,2,3,1,4,75
249,313,2,28,4,2,1,5,5,4,5,5,4,6,4,4,4,5,4,4,1,4,4,4,4,3,79
250,183,1,28,5,2,1,6,6,3,3,6,4,6,3,2,3,2,4,3,1,3,2,4,5,3,69
251,144,2,32,4,2,1,2,3,2,1,2,2,6,3,2,3,4,1,5,1,3,3,4,2,1,50
253,152,2,48,4,2,1,3,4,4,4,4,4,6,4,4,4,3,2,4,1,4,4,5,4,3,71
255,174,2,30,4,1,1,5,3,2,1,4,3,6,3,2,4,5,3,4,1,5,4,5,5,5,70
258,155,2,28,4,1,1,6,6,4,4,6,7,6,1,2,5,4,3,2,1,3,2,3,2,1,68
259,211,2,32,4,2,1,5,2,1,3,2,1,6,1,2,4,2,1,5,1,7,6,6,4,5,64
261,149,2,51,4,2,1,4,2,1,1,1,2,6,5,5,7,5,5,6,1,6,5,6,7,7,82
262,123,2,33,4,2,1,4,4,3,3,3,2,6,5,5,4,4,5,5,1,3,4,3,5,3,72
265,114,1,27,4,2,1,5,5,5,5,5,5,6,4,3,3,5,2,3,1,5,5,4,6,2,79
266,120,1,31,4,2,1,5,6,7,3,6,4,6,4,3,4,6,7,4,1,6,4,3,4,1,84
267,121,2,26,4,2,1,5,1,4,1,2,1,6,2,2,4,3,2,6,1,7,5,7,4,2,65
268,133,1,28,5,2,1,5,4,1,1,5,4,6,3,4,3,6,3,2,1,1,5,6,6,2,68
269,131,2,29,4,1,1,5,4,2,3,6,4,6,2,1,4,4,3,3,1,3,3,4,2,1,61
270,136,2,28,3,1,1,6,7,3,3,7,6,6,2,1,2,6,2,2,1,3,1,4,1,1,64
271,148,2,33,4,2,1,4,3,5,4,4,3,6,4,4,5,6,5,5,1,4,5,5,6,4,83
272,151,1,36,4,2,1,5,5,3,3,4,3,6,3,2,4,5,1,4,1,3,4,3,3,2,64
273,423,1,40,4,2,1,3,3,3,3,2,2,6,6,5,6,6,6,6,1,5,6,6,6,5,86
274,168,2,36,4,2,1,4,5,3,5,3,3,6,5,6,5,6,7,5,1,6,5,6,5,6,92
276,130,2,28,4,1,1,5,3,2,1,2,2,6,4,3,4,5,3,6,1,6,5,6,6,7,77
277,235,1,25,4,1,1,5,4,6,2,5,2,6,3,5,4,5,6,4,1,4,5,6,5,3,81
278,134,2,33,4,2,1,6,6,2,3,5,2,6,6,5,5,7,3,6,1,6,5,6,7,6,93
280,273,1,31,4,2,1,4,3,4,2,4,2,6,4,3,5,5,5,6,1,6,5,7,4,3,79
281,153,2,29,4,2,1,6,4,2,1,6,5,6,1,1,2,3,2,2,1,4,3,5,2,3,59
282,364,2,24,5,1,1,6,6,6,4,7,5,6,4,3,3,4,3,3,1,2,2,2,2,1,70
283,196,2,33,4,2,1,4,2,3,1,4,2,6,3,4,6,3,2,5,1,6,5,7,5,4,73
285,168,2,33,4,2,1,6,5,2,2,7,4,6,2,1,2,4,1,4,1,3,1,5,6,3,65
287,766,1,23,4,1,1,6,5,5,4,6,4,6,4,3,4,5,4,5,1,5,4,3,3,2,79
288,774,1,35,4,2,1,5,5,3,3,1,3,6,5,2,6,3,5,6,1,7,7,6,7,6,87
290,1014,1,38,4,2,1,5,5,4,5,6,4,6,5,3,5,4,5,5,1,5,3,5,5,4,85
291,113,2,35,4,2,1,5,4,4,3,5,4,6,4,4,4,5,4,4,1,5,4,5,5,5,81
292,147,2,32,4,2,1,6,6,5,5,6,7,6,2,1,2,7,2,2,1,1,3,1,2,2,67
293,218,1,29,4,2,1,6,5,7,5,2,2,6,6,7,6,7,5,5,1,6,6,7,5,2,96
294,144,1,33,4,2,1,4,3,2,2,1,1,6,4,4,4,3,3,4,1,5,5,4,4,3,63
295,230,1,19,4,1,1,2,3,1,2,2,2,6,4,4,5,5,4,5,1,5,5,5,4,7,72
296,191,1,32,4,2,1,4,3,1,1,3,2,6,3,1,5,4,3,5,1,6,4,7,7,2,68
298,257,2,28,4,2,1,5,5,2,3,2,2,6,6,5,4,6,5,7,1,7,6,7,5,2,86
299,440,2,27,4,2,1,6,6,4,4,5,4,6,4,4,5,6,4,4,1,4,4,5,5,3,84
